id,name,change,tags,properties,provider,consumer,direction,type,technology,change_type,change_note
bff-to-search,Search and browse products,acme-2028-catalog-search,[synchronous;versioned-contract],,storefront-bff,search-service,provider_to_consumer,api,REST / JSON,added,
catalog-to-events,Publish catalog domain events,acme-2028-catalog-search,[asynchronous;outbox;versioned-contract],,catalog-service,event-backbone,provider_to_consumer,event,Kafka / Avro,added,
events-to-search,Project catalog events into search,acme-2028-catalog-search,[asynchronous;idempotent-consumer],,event-backbone,search-service,provider_to_consumer,event,Kafka / Avro,added,
events-to-analytics-adapter,Consume allowlisted commerce domain events for analytics,acme-2028-catalog-search,[asynchronous;analytics;privacy-filtered;versioned-contract],,event-backbone,analytics-event-adapter,provider_to_consumer,event,Kafka / Avro,added,
legacy-adapter-to-catalog-sync,Translate legacy catalog updates,acme-2028-catalog-search,[migration;anti-corruption-layer;temporary],,legacy-integration-adapter,catalog-sync-adapter,provider_to_consumer,integration,Kafka / REST,added,
catalog-sync-to-catalog,Apply reconciled catalog commands,acme-2028-catalog-search,[migration;idempotent;temporary],,catalog-sync-adapter,catalog-service,provider_to_consumer,api,REST / JSON,added,
bff-to-customer,Read and update customer profile,acme-2029-customer-cart-pricing,[synchronous;versioned-contract],,storefront-bff,customer-service,provider_to_consumer,api,REST / JSON,added,
customer-to-identity,Resolve identity subject and account linkage,acme-2029-customer-cart-pricing,[synchronous;security],,customer-service,identity-provider,provider_to_consumer,api,OIDC / SCIM,added,
bff-to-cart,Manage shopping cart,acme-2029-customer-cart-pricing,[synchronous;versioned-contract],,storefront-bff,cart-service,provider_to_consumer,api,REST / JSON,added,
cart-to-pricing,Price cart contents,acme-2029-customer-cart-pricing,[synchronous;bounded-timeout],,cart-service,pricing-service,provider_to_consumer,api,gRPC,added,
bff-to-pricing,Display prices and promotions,acme-2029-customer-cart-pricing,[synchronous;versioned-contract],,storefront-bff,pricing-service,provider_to_consumer,api,REST / JSON,added,
customer-to-events,Publish customer domain events,acme-2029-customer-cart-pricing,[asynchronous;outbox;versioned-contract],,customer-service,event-backbone,provider_to_consumer,event,Kafka / Avro,added,
events-to-notification,Consume communication-triggering domain events,acme-2029-customer-cart-pricing,[asynchronous;idempotent-consumer],,event-backbone,notification-service,provider_to_consumer,event,Kafka / Avro,added,
notification-to-provider,Deliver email and SMS,acme-2029-customer-cart-pricing,[synchronous;retry-with-backoff],,notification-service,messaging-provider,provider_to_consumer,api,REST / JSON,added,
legacy-adapter-to-customer,Translate legacy customer operations,acme-2029-customer-cart-pricing,[migration;temporary],,legacy-integration-adapter,customer-service,provider_to_consumer,api,REST / JSON,added,
legacy-adapter-to-cart,Translate legacy cart operations,acme-2029-customer-cart-pricing,[migration;temporary],,legacy-integration-adapter,cart-service,provider_to_consumer,api,REST / JSON,added,
legacy-adapter-to-pricing,Translate legacy pricing operations,acme-2029-customer-cart-pricing,[migration;temporary],,legacy-integration-adapter,pricing-service,provider_to_consumer,api,REST / JSON,added,
monolith-to-messaging,,acme-2029-customer-cart-pricing,,,,,,,,removed,Notification Service becomes the only engagement-provider integration owner.
bff-to-checkout,Submit idempotent checkout command,acme-2030-transaction-core,[synchronous;idempotent;versioned-contract],,storefront-bff,checkout-service,provider_to_consumer,api,REST / JSON,added,
checkout-to-cart,Lock and consume cart snapshot,acme-2030-transaction-core,[synchronous;bounded-timeout],,checkout-service,cart-service,provider_to_consumer,api,gRPC,added,
checkout-to-pricing,Validate authoritative price,acme-2030-transaction-core,[synchronous;bounded-timeout],,checkout-service,pricing-service,provider_to_consumer,api,gRPC,added,
checkout-to-inventory,Reserve or release inventory,acme-2030-transaction-core,[synchronous;idempotent;compensatable],,checkout-service,inventory-service,provider_to_consumer,api,gRPC,added,
checkout-to-payment,Authorize or compensate payment,acme-2030-transaction-core,[synchronous;idempotent;compensatable],,checkout-service,payment-service,provider_to_consumer,api,gRPC,added,
checkout-to-order,Create accepted order,acme-2030-transaction-core,[synchronous;idempotent],,checkout-service,order-service,provider_to_consumer,api,gRPC,added,
payment-to-provider,Execute tokenized payment operation,acme-2030-transaction-core,[synchronous;pci;idempotent],"{""circuit_breaker"":""required"",""timeout_seconds"":5}",payment-service,payment-gateway,provider_to_consumer,api,REST / JSON,added,
checkout-to-tax,Calculate and commit checkout tax,acme-2030-transaction-core,[synchronous;external;idempotent;critical],,checkout-service,tax-api,provider_to_consumer,api,REST / JSON,added,
payment-to-fraud,Request payment fraud decision,acme-2030-transaction-core,[synchronous;external;bounded-timeout;critical],,payment-service,fraud-api,provider_to_consumer,api,REST / JSON,added,
payment-to-finance,Submit settlement and reconciliation records,acme-2030-transaction-core,[asynchronous-preferred;finance;idempotent],,payment-service,finance-ledger,provider_to_consumer,integration,Managed integration API,added,
order-to-oms,Submit accepted order to enterprise OMS,acme-2030-transaction-core,[asynchronous-preferred;anti-corruption-layer;orders],,order-service,enterprise-oms,provider_to_consumer,integration,Managed integration API,added,
inventory-to-erp,Synchronize availability and reservation outcomes,acme-2030-transaction-core,[asynchronous-preferred;anti-corruption-layer;inventory],,inventory-service,erp-wms,provider_to_consumer,integration,Managed integration API,added,
order-to-events,Publish order domain events,acme-2030-transaction-core,[asynchronous;outbox;versioned-contract],,order-service,event-backbone,provider_to_consumer,event,Kafka / Avro,added,
payment-to-events,Publish payment domain events,acme-2030-transaction-core,[asynchronous;outbox;versioned-contract],,payment-service,event-backbone,provider_to_consumer,event,Kafka / Avro,added,
inventory-to-events,Publish inventory and reservation events,acme-2030-transaction-core,[asynchronous;versioned-contract],,inventory-service,event-backbone,provider_to_consumer,event,Kafka / Avro,added,
legacy-adapter-to-order,Translate legacy order administration,acme-2030-transaction-core,[migration;temporary],,legacy-integration-adapter,order-service,provider_to_consumer,api,REST / JSON,added,
monolith-to-payment,,acme-2030-transaction-core,,,,,,,,removed,Payment Service becomes the only payment-provider integration owner.
monolith-to-erp,,acme-2030-transaction-core,,,,,,,,removed,Inventory Service becomes the only direct digital-commerce integration with ERP/WMS.
monolith-to-oms,,acme-2030-transaction-core,,,,,,,,removed,Order Service becomes the only digital-commerce integration owner for the enterprise OMS.
monolith-to-finance,,acme-2030-transaction-core,,,,,,,,removed,Payment Service owns finance settlement and reconciliation integration.
monolith-to-tax,,acme-2030-transaction-core,,,,,,,,removed,Checkout Orchestrator becomes the only tax-provider integration owner.
monolith-to-fraud,,acme-2030-transaction-core,,,,,,,,removed,Payment Service becomes the only fraud-provider integration owner.
edge-to-monolith,,acme-2030-transaction-core,,,,,,,,removed,All public customer journeys now route to target services.
bff-to-monolith,,acme-2030-transaction-core,,,,,,,,removed,The BFF no longer composes customer-facing capabilities from the monolith.
agent-to-admin,Customer service administration,acme-2031-complete-cutover,[internal;synchronous],,customer-service-agent,admin-portal,provider_to_consumer,web,HTTPS,added,
merchandiser-to-admin,Merchandising administration,acme-2031-complete-cutover,[internal;synchronous],,merchandiser,admin-portal,provider_to_consumer,web,HTTPS,added,
admin-to-catalog,Manage catalog and assortment,acme-2031-complete-cutover,[synchronous;role-authorized],,admin-portal,catalog-service,provider_to_consumer,api,REST / JSON,added,
admin-to-customer,Support customer accounts,acme-2031-complete-cutover,[synchronous;role-authorized;audited],,admin-portal,customer-service,provider_to_consumer,api,REST / JSON,added,
admin-to-order,Support order lifecycle,acme-2031-complete-cutover,[synchronous;role-authorized;audited],,admin-portal,order-service,provider_to_consumer,api,REST / JSON,added,
admin-to-pricing,Manage pricing and promotions,acme-2031-complete-cutover,[synchronous;role-authorized;audited],,admin-portal,pricing-service,provider_to_consumer,api,REST / JSON,added,
events-to-reporting,Build operational reporting projections,acme-2031-complete-cutover,[asynchronous;idempotent-consumer;replayable],,event-backbone,reporting-service,provider_to_consumer,event,Kafka / Avro,added,
agent-to-reporting,View operational reports,acme-2031-complete-cutover,[internal;read-only],,customer-service-agent,reporting-service,provider_to_consumer,web,HTTPS,added,
