id,name,application,change,description,tags,properties,technology,change_type,parent,change_note
analytics-consent-filter,Analytics Consent and Data Filter,,acme-2027-edge-foundation,"Enforces consent, allowlisted fields, pseudonymous identifiers, and analytics contract versions.",[privacy;analytics;infrastructure],"{""default_policy"":""deny""}",Stream processor,added,analytics-event-adapter,
legacy-outbox,Legacy Transactional Outbox,,acme-2027-edge-foundation,Append-only outbox table used to publish changes without dual writes.,[outbox;migration],"{""data_owner"":""commerce-monolith"",""delivery_semantics"":""at-least-once""}",PostgreSQL table / relay,added,commerce-monolith,
catalog-db,Catalog Database,,acme-2028-catalog-search,Catalog-owned relational store; no other service has direct access.,[database;database-per-service],"{""backup"":""point-in-time-recovery"",""data_owner"":""catalog-service""}",Managed PostgreSQL,added,catalog-service,
catalog-cache,Catalog Cache,,acme-2028-catalog-search,Read-through cache for hot product and category data.,[cache;infrastructure],,Redis,added,catalog-service,
catalog-outbox,Catalog Transactional Outbox,,acme-2028-catalog-search,Atomically records catalog events for reliable publication.,[outbox;eventing],,PostgreSQL outbox table,added,catalog-service,
product-search-index,Product Search Index,,acme-2028-catalog-search,Rebuildable search projection populated only from versioned catalog events.,[search-index;cqrs-read-model],"{""rebuildable"":true,""source_of_truth"":""catalog-service""}",Managed OpenSearch,added,search-service,
search-query-cache,Search Query Cache,,acme-2028-catalog-search,Short-lived cache for popular query and facet results.,[cache;infrastructure],,Redis,added,search-service,
catalog-reconciliation-store,Catalog Reconciliation Store,,acme-2028-catalog-search,Temporary checkpoints and idempotency keys for migration reconciliation.,[migration;database;temporary],,Managed PostgreSQL,added,catalog-sync-adapter,
legacy-catalog-module,Legacy Catalog Compatibility Facade,,acme-2028-catalog-search,Read-only compatibility facade delegating canonical product changes through the migration adapter.,,,,changed,,Transfer catalog authority while retaining a temporary back-office seam.
legacy-search-index,,,acme-2028-catalog-search,,,,,removed,,Search Service owns the rebuildable product-search projection.
customer-db,Customer Database,,acme-2029-customer-cart-pricing,Customer-owned relational data with encrypted sensitive fields.,[database;database-per-service],"{""data_owner"":""customer-service"",""encryption"":""field-and-storage""}",Managed PostgreSQL,added,customer-service,
customer-outbox,Customer Transactional Outbox,,acme-2029-customer-cart-pricing,Reliable customer-profile event publication.,[outbox;eventing],,PostgreSQL outbox table,added,customer-service,
cart-store,Durable Cart Store,,acme-2029-customer-cart-pricing,Partitioned durable key-value storage for carts and idempotency records.,[database;database-per-service],"{""consistency"":""optimistic"",""data_owner"":""cart-service""}",Managed key-value database,added,cart-service,
cart-cache,Cart Hot Cache,,acme-2029-customer-cart-pricing,Optional acceleration layer; the durable cart store remains authoritative.,[cache;infrastructure],,Redis,added,cart-service,
pricing-db,Pricing Database,,acme-2029-customer-cart-pricing,"Pricing-owned rules, price lists, promotions, and audit history.",[database;database-per-service],"{""data_owner"":""pricing-service""}",Managed PostgreSQL,added,pricing-service,
pricing-cache,Pricing Evaluation Cache,,acme-2029-customer-cart-pricing,Version-keyed cache that cannot outlive the owning price-rule version.,[cache;infrastructure],,Redis,added,pricing-service,
notification-db,Notification Database,,acme-2029-customer-cart-pricing,"Templates, preferences, delivery attempts, and deduplication keys.",[database;database-per-service],"{""data_owner"":""notification-service""}",Managed PostgreSQL,added,notification-service,
legacy-customer-module,Legacy Customer Compatibility Facade,,acme-2029-customer-cart-pricing,Temporary facade delegating profile operations to Customer Service.,,,,changed,,Transfer customer profile authority without a big-bang user migration.
legacy-cart-module,Legacy Cart and Pricing Compatibility Facade,,acme-2029-customer-cart-pricing,Temporary facade delegating cart and price calculations to target services.,,,,changed,,Keep remaining monolith journeys functional while target APIs become authoritative.
checkout-workflow-store,Checkout Workflow Store,,acme-2030-transaction-core,"Durable saga state, idempotency keys, and compensation progress.",[database;database-per-service;workflow-state],"{""data_owner"":""checkout-service""}",Managed PostgreSQL,added,checkout-service,
order-db,Order Database,,acme-2030-transaction-core,Order-owned append-audited relational data.,[database;database-per-service],"{""data_owner"":""order-service""}",Managed PostgreSQL,added,order-service,
order-outbox,Order Transactional Outbox,,acme-2030-transaction-core,Reliable order-event publication without dual writes.,[outbox;eventing],,PostgreSQL outbox table,added,order-service,
payment-db,Payment Database,,acme-2030-transaction-core,"Payment intents, provider tokens, idempotency keys, and reconciliation state; no PAN storage.",[database;database-per-service;pci-scope-minimized],"{""cardholder_data"":""prohibited"",""data_owner"":""payment-service""}",Managed PostgreSQL,added,payment-service,
payment-outbox,Payment Transactional Outbox,,acme-2030-transaction-core,Reliable payment-state event publication.,[outbox;eventing],,PostgreSQL outbox table,added,payment-service,
inventory-db,Inventory Projection Database,,acme-2030-transaction-core,Rebuildable availability projection plus authoritative commerce reservation state.,[database;database-per-service;cqrs-read-model],"{""data_owner"":""inventory-service"",""upstream_system_of_record"":""erp-wms""}",Managed PostgreSQL,added,inventory-service,
legacy-checkout-module,Legacy Checkout Compatibility Facade,,acme-2030-transaction-core,Non-public compatibility facade delegating checkout to the target orchestrator.,,,,changed,,Remove the monolith from customer purchase execution.
legacy-order-module,Legacy Order Compatibility Facade,,acme-2030-transaction-core,Temporary back-office facade reading and updating orders through Order Service.,,,,changed,,Transfer order authority while retaining legacy administration until Year 5.
admin-static-assets,Administration Static Assets,,acme-2031-complete-cutover,Versioned immutable portal assets served through the managed edge.,[infrastructure;immutable],,Object storage / CDN,added,admin-portal,
reporting-read-model,Reporting Read Model,,acme-2031-complete-cutover,Rebuildable cross-domain operational projection populated from events.,[database;cqrs-read-model;rebuildable],"{""data_owner"":""reporting-service"",""direct_service_db_access"":""prohibited""}",Managed analytical PostgreSQL,added,reporting-service,
reporting-object-store,Reporting Object Store,,acme-2031-complete-cutover,Retained extracts and archived operational reports with lifecycle policies.,[object-storage;infrastructure],,Managed object storage,added,reporting-service,
